Restriction Type,Parking Spaces,Times Of Operation,Maximum Stay,Tariff,Cashless Identifier,Nearest Machine,Road Name,Postcode,Controlled Parking Zone,Valid Parking Permits,Parking Bay Length Metres,Disclaimer,Easting,Northing,EPSG:27700 Well Known Text Geometry,EPSG:4326 Well Known Text Geometry,Unique Identifier,Spatial Accuracy,Last Uploaded,Socrata ID
paid-for,2,"mon-fri 08:30-18:30, sat 08:30-13:30",2 hours,å£4.65 p/h,13976,D314,Coram Street,WC1N 1HA,CA-D,N/A,11,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530096,182236,"LINESTRING (530100.847399288 182240.603425139,530101.638925154 182238.673977438,530096.205429888 182236.534589831,530091.456274694 182234.66512496,530090.598788339 182236.594572661)","LINESTRING (-0.126087745364046 51.524113234114,-0.126077054430852 51.5240957127542,-0.12615611882207 51.5240777373402,-0.12622522495568 51.5240620300829,-0.126236866167697 51.5240795666086)",46036192,Defined By Custodian,4/9/17 23:31,1198
paid-for,2,"mon-fri 08:30-18:30, sat 08:30-13:30",2 hours,å£4.65 p/h,13443,D314,Coram Street,WC1N 1HB,CA-D,N/A,9,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530066,182225,"LINESTRING (530074.001480343 182230.396346885,530074.735290781 182228.48689346,530066.127446991 182225.187837805,530065.89658528 182225.09786356,530065.088569292 182227.017314123)","LINESTRING (-0.126478253796971 51.5240276846639,-0.126468386806608 51.5240103562988,-0.126593608313138 51.5239826894759,-0.126596967293255 51.5239819340275,-0.126607899645838 51.5239993692955)",46036193,Defined By Custodian,4/9/17 23:31,1199
resident permit holders only,4,mon-sat 09:00-22:00,N/A,N/A,N/A,N/A,Church Row,NW3 6UU,CA-H,CA-H,20,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526144,185617,"LINESTRING (526154.860097034 185618.856410281,526154.464334102 185620.525932385,526154.258207574 185620.475946693,526133.851681349 185615.097486262,526133.662044944 185615.04750057,526134.074297999 185613.317995636)","LINESTRING (-0.181725674814698 51.5553675178448,-0.181730781968688 51.5553826099969,-0.181733771478901 51.555382206832,-0.18202988676762 51.5553384298946,-0.182032638544926 51.5553380230388,-0.182027315060444 51.5553223881589)",46034959,Defined By Custodian,4/9/17 23:31,12
resident permit holders only,1,mon-sat 09:00-19:00,N/A,N/A,N/A,N/A,Chesterford Gardens,NW3 7DE,CA-H,CA-H,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525923,185625,"LINESTRING (525922.604970878 185628.573628756,525921.343476529 185626.964089482,525926.100876785 185623.095196941,525927.271675461 185624.774716184)","LINESTRING (-0.185070479082118 51.5555066836142,-0.185089241088816 51.5554925002068,-0.185022040343696 51.5554566701346,-0.185004560805063 51.5554715026567)",46035067,Defined By Custodian,4/9/17 23:31,120
resident permit holders only,3,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Herbrand Street,WC1N 1JX,CA-D,CA-D,16,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530093,182289,"LINESTRING (530095.760196588 182291.088973801,530093.797872046 182289.919308614,530093.880322657 182289.789345816,530101.515249237 182275.423458008,530103.395123168 182276.473157535)","LINESTRING (-0.126142406981298 51.5245680989186,-0.126171108105126 51.5245580391827,-0.126169968251376 51.5245568522831,-0.126065278154163 51.5244259945523,-0.126037809146967 51.5244349951539)",46036194,Defined By Custodian,4/9/17 23:31,1200
resident permit holders only,3,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Herbrand Street,WC1N 1JS,CA-D,CA-D,16,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530080,182310,"LINESTRING (530086.402052239 182294.368035179,530088.13351507 182295.247783354,530080.27597184 182310.083536664,530080.210011352 182310.183508047,530078.453813337 182309.313757011)","LINESTRING (-0.126276012560736 51.5245997201118,-0.126250744223544 51.5246072276273,-0.126358469005387 51.5247423589233,-0.126359382371043 51.5247432725054,-0.126385003420279 51.5247358604994)",46036195,Defined By Custodian,4/9/17 23:31,1201
resident permit holders only,1,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Herbrand Street,WC1H 9RU,CA-D,CA-D,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530057,182352,"LINESTRING (530061.221635636 182342.204342179,530062.730481817 182343.354013089,530057.750464912 182352.821303105,530057.668014301 182352.971260181,530055.986021837 182351.861577824)","LINESTRING (-0.126621123425604 51.5250354004213,-0.126598962434661 51.5250453849194,-0.126667214518756 51.5251316095729,-0.126668347025177 51.5251329761487,-0.126692987704953 51.5251233908349)",46036196,Defined By Custodian,4/9/17 23:31,1202
resident permit holders only,7,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Kenton Street,WC1N 1NN,CA-D,CA-D,44,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530193,182383,"LINESTRING (530183.561852254 182403.766720132,530185.458216307 182404.466519816,530185.532421857 182404.216591357,530201.305223744 182363.588221107,530201.362939171 182363.478252585,530199.400614629 182362.658487241)","LINESTRING (-0.124835922239727 51.5255604764509,-0.124808343925348 51.5255663285446,-0.12480736715606 51.5255640654471,-0.124595137897147 51.5251953217204,-0.124594347031053 51.5251943201836,-0.124622919691376 51.5251874052462)",46036197,Defined By Custodian,4/9/17 23:31,1203
paid-for,6,mon-sat 08:30-18:30,2 hours,å£4.65 p/h,13875,E115,Bedford Place,WC1A 2NS,CA-E,N/A,32,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530276,181749,"LINESTRING (530280.779367697 181740.536567788,530282.156292901 181741.726227251,530276.087927931 181749.953872113,530262.615498091 181767.598821298,530261.156122276 181766.25920476)","LINESTRING (-0.123680358136933 51.5195778938225,-0.123660084697098 51.519588267553,-0.123744458372 51.5196636044193,-0.123932007538247 51.5198252767113,-0.12395352407538 51.5198135743248)",46036198,Defined By Custodian,4/9/17 23:31,1204
disabled (blue badge),1,at any time,N/A,N/A,N/A,N/A,Morwell Street,WC1B 3AZ,CA-C,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529739,181607,"LINESTRING (529739.029382988 181611.543491672,529737.388615829 181610.46380073,529740.760845819 181605.265288789,529742.508798773 181606.304991177)","LINESTRING (-0.13153151740121 51.5185432486517,-0.131555548639761 51.5185339223229,-0.131508885855728 51.5184864313552,-0.13148332540231 51.518495373717)",46036199,Defined By Custodian,4/9/17 23:31,1205
resident permit holders only,2,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,University Street,WC1E 6JL,CA-E,CA-E,9,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529472,182171,"LINESTRING (529467.808098068 182170.333539684,529468.756280094 182168.833968932,529477.232202906 182174.412372131,529476.020178924 182175.901945745)","LINESTRING (-0.135233173966814 51.5236270746842,-0.135220065010971 51.5236133814041,-0.135095913114342 51.5236615714367,-0.135112826618547 51.5236752353168)",46036200,Defined By Custodian,4/9/17 23:31,1206
loading,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Marchmont Street,WC1N 1AP,CA-D,N/A,20,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530175,182297,"LINESTRING (530169.899786009 182305.064973213,530172.398039523 182305.994707079,530178.746736571 182288.079835158,530176.26497318 182287.130107015)","LINESTRING (-0.125069179610776 51.5246766289213,-0.125032846034761 51.5246844088081,-0.124947998710985 51.5245219529663,-0.124984101992162 51.5245139896265)",46036201,Defined By Custodian,4/9/17 23:31,1207
resident permit holders only,1,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Marchmont Street,WC1N 1AP,CA-D,CA-D,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530160,182339,"LINESTRING (530157.466233869 182341.514539633,530159.222431884 182342.194345041,530160.104653421 182339.905000359,530160.945649654 182337.515684293,530159.098755967 182336.805887471)","LINESTRING (-0.125234846492872 51.5250070497298,-0.125209295220596 51.5250127545142,-0.125197430676467 51.5249919779428,-0.125186196948113 51.524970312459,-0.125213065858934 51.5249643590409)",46036202,Defined By Custodian,4/9/17 23:31,1208
loading,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Marchmont Street,WC1N 1RE,CA-D,N/A,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530141,182389,"LINESTRING (530137.620371799 182394.099487348,530140.044419762 182395.099201183,530143.812412686 182384.852134375,530141.256443744 182383.932397647)","LINESTRING (-0.125501345752161 51.5254841791115,-0.125466054813039 51.5254926050914,-0.125415553249148 51.5253996512528,-0.12545271512006 51.5253919743811)",46036203,Defined By Custodian,4/9/17 23:31,1209
resident permit holders only,3,mon-sat 09:00-19:00,N/A,N/A,N/A,N/A,Chesterford Gardens,NW3 7DE,CA-H,CA-H,16,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525910,185636,"LINESTRING (525905.77680117 185643.419379204,525904.259709928 185641.849828483,525916.050147302 185631.352833217,525917.262171284 185633.062343875)","LINESTRING (-0.185307771509545 51.5556438526327,-0.185330204005644 51.5556300855471,-0.185163982181359 51.5555331215744,-0.18514589760784 51.5555482144538)",46035068,Defined By Custodian,4/9/17 23:31,121
car club,2,at any time,N/A,N/A,N/A,N/A,Marchmont Street,WC1N 1RE,CA-D,N/A,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530143,182384,"LINESTRING (530142.097439977 182384.032369031,530143.853637991 182384.632197332,530143.903108358 182384.492237395,530147.324808715 182375.104924485,530145.172847767 182374.415121939)","LINESTRING (-0.125440562459454 51.5253926791699,-0.12541504051199 51.5253976652739,-0.125414379475423 51.5253963961196,-0.125368549633755 51.525311248257,-0.125399806270038 51.5253055447145)",46036204,Defined By Custodian,4/9/17 23:31,1210
resident permit holders only,1,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Coram Street,WC1N 1HA,CA-D,CA-D,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530102,182238,"LINESTRING (530106.47877602 182242.832786991,530107.270301886 182240.823362183,530102.05942327 182238.863923066,530101.812071437 182238.783945959,530101.119486304 182240.633416554)","LINESTRING (-0.126005796999815 51.5241319725025,-0.125995135601023 51.5241137324123,-0.126070926642394 51.5240973229487,-0.126074519508402 51.5240966611509,-0.126083814601712 51.5241134410176)",46036205,Defined By Custodian,4/9/17 23:31,1211
disabled (blue badge),1,at any time,N/A,N/A,N/A,N/A,Coram Street,WC1N 1HB,CA-D,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530078,182229,"LINESTRING (530080.19352123 182232.715682982,530081.133458195 182230.916198079,530075.271219752 182228.806801887,530074.529164253 182230.566298237)","LINESTRING (-0.126388195609724 51.5240471028835,-0.126375318622986 51.5240307153257,-0.12646054820751 51.5240131078799,-0.126470589285303 51.5240290905363)",46036206,Defined By Custodian,4/9/17 23:31,1212
resident permit holders only,3,mon-sat 09:00-19:00,N/A,N/A,N/A,N/A,Chesterford Gardens,NW3 7DE,CA-H,CA-H,15,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525904,185635,"LINESTRING (525908.794493533 185628.743580108,525910.204398982 185630.173170892,525898.644823318 185640.550200498,525897.078261709 185639.070624022)","LINESTRING (-0.185269516205305 51.5555112903915,-0.185248679049649 51.5555238235645,-0.185411615716851 51.5556196578332,-0.185434729179333 51.5556067103428)",46035071,Defined By Custodian,4/9/17 23:31,124
paid-for,2,"mon-fri 08:30-18:30, sat 08:30-13:30",2 hours,å£4.65 p/h,13434,D314,Herbrand Street,WC1N 1HX,CA-D,N/A,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530194,182105,"LINESTRING (530196.852890749 182099.573794451,530198.559618397 182101.053370926,530198.378227053 182101.253313693,530194.824605718 182105.662051705,530191.32045475 182110.010806887,530191.139063406 182110.190755377,530189.366375269 182108.811150285)","LINESTRING (-0.124756752519189 51.5228237536303,-0.12473161981624 51.5228366569461,-0.12473415905937 51.5228384955278,-0.124783723672012 51.5228789335161,-0.124832597861921 51.5229188210494,-0.124835144494648 51.5229204799482,-0.124861190515278 51.522908490204)",46036207,Defined By Custodian,4/9/17 23:31,1213
